,weight
287,2694391.855
288,1958021.656
289,1667505.218
290,1753208.597
291,1762429.175
292,2298289.521
293,1602396.347
294,1964806.471
295,1705393.021
296,1572910.512
297,1827519.462
298,2103125.674
299,1599383.114
300,1828133.806
301,1743259.457
302,1842088.744
303,2002710.402
304,2086261.899
305,1711286.267
306,2039728.036
307,1925578.933
308,1797338.078
309,1707897.936
310,1683828.098
311,2044890.972
312,1531293.344
313,1906217.358
314,2218699.748
315,1584938.96
316,2238966.629
317,1875816.078
318,2073568.879
319,1912345.269
320,1821254.021
321,1609654.172
322,1491699.187
323,1907426.819
324,1693570.945
325,2166669.267
326,1744230.292
327,1842215.204
328,1660240.783
329,2041845.395
330,1724055.265
331,1804499.078
332,1522819.208
333,1843484.248
334,1593138.871
335,1782406.899
336,1708981.501
337,2048083.996
338,2047425.838
339,2217797.507
340,1990110.84
341,1579919.646
342,1881663.688
343,1710389.31
344,1884008.28
345,1648108.918
346,1655575.228
347,1806331.1
348,2084639.954
349,1676908.211
350,1886234.413
351,1837795.243
352,1822304.362
353,1575968.258
354,1624073.054
355,2006242.126
356,1961247.297
357,2760968.581
358,1820409.869
359,1670944.097
360,1630545.729
361,1488854.277
362,2072687.439
363,1901155.57
364,1861222.954
365,2075799.84
366,2029807.283
367,1884651.479
368,1927798.341
369,2073805.539
370,2084011.818
371,1880780.801
372,1939166.664
373,2176254.986
374,1731897.747
375,3130899.74
376,1790634.728
377,1584424.224
378,1865750.577
379,1616002.275
380,2000158.311
381,1626426.387
382,2013283.515
383,2001441.104
384,1659969.101
385,1678123.349
386,2100922.085
387,1892535.529
388,1986714.034
389,2282228.076
390,1772519.074
391,2026151.676
392,1790956.71
393,2291109.312
394,1609232.401
395,1702371.722
396,1907191.96
397,1581848.388
398,1820741.517
399,1639427.863
400,1459359.932
401,1851951.032
402,1641137.295
403,1470464.718
404,2525139.125
405,1428519.51
406,1788436.203
407,1640750.252
408,1872040.166
409,2149962.068
410,1845842.21
411,2059139.88
412,1929695.32
413,1901916.072
414,2142620.689
415,1700687.25
416,1492729.694
417,1773695.398
418,2291326.096
419,1853906.713
420,2007814.661
421,2078364.68
422,1753593.129
423,1630380.434
424,2100094.64
425,1983542.676
426,2410447.544
427,1762938.97
428,1971481.056
429,1912904.086
430,2310236.099
431,1439354.493
432,2548993.667
433,1733733.708
434,2188816.733
435,1783970.749
436,2423315.023
437,1713305.354
438,2155363.748
439,1956478.35
440,1683009.073
441,2021669.748
442,1787072.361
443,1760141.079
444,1968600.487
445,2050092.435
446,1995434.201
447,1648543.519
448,1967944.259
449,1861708.008
450,2006229.457
451,2015409.4
452,1653507.174
453,1847642.359
454,1962431.243
455,1650980.893
456,1727420.831
457,2107358.242
458,2451979.515
459,1684338.82
460,2035011.301
461,1634440.155
462,1636284.462
463,1760909.981
464,2216287.782
465,1528062.554
466,2267908.589
467,1557895.198
468,1818372.645
469,1853149.702
470,2111023.813
471,2004132.403
472,2037619.193
473,2423914.314
474,2235048.165
475,2134916.541
476,1635626.374
477,1972001.239
478,1703093.959
479,2560033.753
480,1493860.722
481,2125807.819
482,1438954.206
483,1878673.702
484,1702049.922
485,2051511.616
486,2097872.861
487,2216845.688
488,1614668.283
489,1726047.927
490,1460756.403
491,2068492.693
492,1797139.437
493,2063569.319
494,1807007.473
495,1521107.774
496,1526273.908
497,1858489.07
498,1982838.682
499,2435643.15
500,1915691.634
501,1721670.491
502,1738056.233
503,1827372.837
504,1547625.053
505,1559407.745
506,1720286.883
507,1976921.682
508,2149875.86
509,2034530.254
510,1891528.858
511,1977616.696
512,1603525.151
513,1780977.015
514,1790406.905
515,2001168.789
516,1640837.231
517,1794973.732
518,2082246.355
519,1463839.262
520,1681248.09
521,1635146.452
522,1924856.156
523,1820639.849
524,1967079.791
525,2074928.536
526,1623654.63
527,1586049.028
528,1790995.771
529,1482038.585
530,1678229.762
531,2285228.473
532,1593032.513
533,1466583.938
534,1622422.695
535,2097678.729
536,2108173.347
537,1846085.62
538,2120421.891
539,2144331.169
540,2577353.245
541,1620121.978
542,1870913.922
543,1534761.934
544,1860046.986
545,2025633.44
546,1929436.228
547,2137630.752
548,1517802.013
549,1775312.576
550,1695326.486
551,1683427.029
552,1764286.368
553,1683882.996
554,1675789.795
555,1900109.354
556,1868408.135
557,1702840.71
558,1626583.867
559,1549596.187
560,2090511.822
561,2196319.539
562,1876795.239
563,2107597.98
564,1754594.039
565,2293743.787
566,1961889.121
567,2021565.404
568,1687858.529
569,1658581.786
570,1601814
571,1774670.526
572,2259130.241
573,1542950.736
574,1927598.218
575,1737208.778
576,1751481.317
577,2147782.502
578,2221442.555
579,1855790.28
580,1739663.127
581,2008391.221
582,2042313.623
583,1934381.906
584,1702008.15
585,2224068.515
586,2149140.812
587,1689457.61
588,2513727.037
589,1764005.742
590,1591705.015
591,1591773.89
592,1595194.994
593,1845098.694
594,1900071.508
595,1931043.571
596,1585245.344
597,2171706.606
598,1865281.186
599,2107326.085
600,1803448.507
601,1923148.461
602,1877012.386
603,1751801.843
604,1572306.806
605,1794708.517
606,1723657.707
607,2331221.363
608,1551476.772
609,1605137.554
610,2121701.151
611,1991948.333
612,2180298.336
613,1781574.111
614,2190751.825
615,1810792.181
616,2064502.271
617,2254100.662
618,1689328.257
619,2064309.808
620,1475358.14
621,1903578.038
622,1681006.209
623,2084859.578
624,1987126.732
625,1912857.682
626,2057282.819
627,1541178.984
628,1852359.168
629,1831550.552
630,1649346.795
631,1831497.16
632,2017097.565
633,1585798.47
634,1639659.625
635,1729696.003
636,2159768.553
637,1848876.151
638,2028337.544
639,2545678.992
640,1615457.212
641,2090998.992
642,1526214.197
643,1636146.204
644,1880332.391
645,1950959.757
646,2039158.228
647,1877359.862
648,1938176.206
649,2373713.004
650,1565148.337
651,2245249.87
652,2711061.041
653,1545076.166
654,1531578.733
655,1599067.917
656,2012791.716
657,1792903.563
658,1782679.279
659,1638123.737
660,1556918.411
661,2019126.592
662,1881109.893
663,1945346.556
664,2324334.673
665,1931906.671
666,1709055.283
667,1877213.826
668,1964001.381
669,1901626.475
670,1785144.975
671,1384642.165
672,2088091.181
673,2410695.501
674,2144337.147
675,1919569.155
676,2319897.499
677,2177673.037
678,1728480.568
679,2423357.653
680,1946654.144
681,1744980.856
682,2041430.739
683,2179868.707
684,1507667.587
685,1980824.764
686,1572113.755
687,1659956.696
688,1757163.052
689,2039113.51
690,1896499.839
691,2009063.655
692,1862597.397
693,1652602.877
694,1845917.521
695,1428530.354
696,1804449.285
697,1883491.427
698,2078277.175
699,1758058.13
700,1779028.724
701,1737070.542
702,1521087.457
703,1848258.138
704,1562694.862
705,1988400.008
706,1564996.873
707,1890526.17
708,1845401.955
709,1835024.647
710,1933933.303
711,2321462.11
712,1483278.036
713,1807893.862
714,1980974.468
715,1812597.606
716,1980375.006
717,2614062.795
718,1703804.144
719,1881714.298
720,1858568.733
721,2265010.576
722,1636058.738
723,1735339.608
724,2363062.996
725,1723584.811
726,1525214.329
727,1740347.665
728,1833238.089
729,1701077.476
730,1806229.865
731,2248725.272
732,1675911.927
733,1780105.417
734,1791689.668
735,2134810.104
736,1735839.449
737,1942933.074
738,2066660.155
739,1604685.427
740,2228865.846
741,1455049.914
742,2030403.457
743,1709870.439
744,1590468.994
745,1796923.93
746,1951577.601
747,1622816.76
748,2251287.859
749,2030757.505
750,1660091.673
751,1770214.467
752,2174737.384
753,2645722.173
754,1686752.593
755,1817854.499
756,1643122.55
757,2841623.711
758,1437675.29
759,1750618.534
760,1766212.665
761,1789579.14
762,2260013.258
763,1650157.287
764,1634230.827
765,1713185.611
766,1925149.589
767,1433826.429
768,1740902.206
769,2211958.437
770,1918022.109
771,1834677.142
772,1662785.59
773,2522938.943
774,2190643.965
775,1630922
776,1799812.429
777,1846015.676
778,1656991.146
779,2201964.937
780,1975047.64
781,2004960.398
782,2344416.698
783,1627611.727
784,1990010.221
785,2278110.213
786,1774553.87
787,1749289.227
788,2086722.836
789,1974632.068
790,2311264.107
791,2131928.979
792,1781422.312
793,2207065.693
794,1516157.614
795,1962588.544
796,1886476.361
797,1704676.974
798,1781007.156
799,1978365.435
800,1807550.162
801,1603984.086
802,1726862.15
803,1657255.41
804,1908948.568
805,1826597.568
806,1630156.46
807,2063850.74
808,2239684.492
809,1924158.241
810,2832551.743
811,1957788.081
812,1843018.635
813,1863956.413
814,1486259.464
815,1664571.402
816,2151037.459
817,2453247.24
818,2304445.049
819,1707293.536
820,2021345.709
821,1777922.297
822,1746914.259
823,1593133.303
824,1927096.031
825,1554769.061
826,2090612.903
827,1824955.971
828,2144234.737
829,2204216.165
830,1868522.047
831,1453024.928
832,2179692.053
833,1679760.129
834,1955111.528
835,1770898.613
836,1823022.615
837,2017904.363
838,2133407.304
839,1872497.563
840,1772420.253
841,1907991.811
842,1330517.311
843,2015098.207
844,2148650.042
845,1808927.732
846,1798955.556
847,1745063.432
848,1686515.106
849,1995707.958
850,1970582.549
851,2454851.03
852,1422763.411
853,1883990.291
854,2010726.45
855,1589796.305
856,1604007.425
857,1915786.858
858,2160814.082
859,1905371.923
860,2003379.288
861,1952012.899
862,2225993.585
863,2110741.656
864,1632160.472
865,1485267.451
866,1824063.828
867,1947195.097
868,1587860.8
869,2004982.275
870,1877730.335
871,1670322.427
872,2030412.404
873,2601629.172
874,2318147.461
875,1956779.4
876,1801508.398
877,1555875.141
878,1855284.445
879,1624796.817
880,1881239.635
881,1810533.991
882,2286112.063
883,2053556.34
884,1655774.21
885,1600997.404
886,1938813.342
887,2048625.559
888,1501575.266
889,1846759.859
890,1840716.515
891,2023286.939
892,1891908.653
893,2225688.227
894,2109187.336
895,1791619.139
896,1862964.137
897,1903490.652
898,2235035.461
899,1790183.703
900,2140125.747
901,1937505.204
902,2182762.504
903,1684250.699
904,1645254.065
905,1745164.979
906,1762538.963
907,2082619.454
908,1700362.193
909,2206895.338
910,2114965.68
911,1687154.551
912,2191467.804
913,1696396.876
914,2987559.893
915,1617164.634
916,2098145.854
917,1844863.897
918,2205870.592
919,2314406.351
920,1445770.029
921,1621473.792
922,1615808.234
923,1996316.093
924,2098186.414
925,1850238.93
926,1696893.476
927,1628734.048
928,1992241.957
929,1969621.392
930,1593457.238
931,1785021.017
932,1971268.302
933,1992462.857
934,1777212.319
935,2097667.18
936,2027341.354
937,2009370.234
938,1459032.238
939,1874873.541
940,1921832.95
941,1941814.165
942,1934551.541
943,1985931.582
944,1638264.333
945,1705280.351
946,2116694.622
947,1794759.193
948,2200789.703
949,1542318.986
950,2128066.727
951,2202579.857
952,2203510.009
953,2033462.735
954,2504471.295
955,1538533.43
956,1558632.782
957,1586495.201
958,1896169.878
959,1594432.38
960,2041976.447
961,1911130.366
962,1601247.944
963,1682290.463
964,2002361.221
965,1974243.189
966,1647588.051
967,1643630.741
968,1867853.175
969,1973041.337
970,2011852.827
971,1652132.9
972,1720114.079
973,1908084.871
974,1635762.607
975,1859786.182
976,2039089.151
977,1776559.956
978,2061838.722
979,1611107.726
980,2110953.246
981,2009069.53
982,1845984.866
983,1576300.465
984,1562945.61
985,1457378.282
986,1630663.721
987,2297549.697
988,2096141.081
989,1830209.592
990,1941229.086
991,1848844.849
992,2103220.046
993,1858824.876
994,1870104.595
995,1778181.524
996,1955732.944
997,1572560.345
998,1821002.063
999,1745210.489
1000,1831583.605
1001,2035042.873
1002,2231282.401
1003,1651003.392
1004,1600783.306
1005,1718814.667
1006,1693908.588
1007,1627567.196
1008,1425579.505
1009,1756363.589
1010,1832748.746
1011,1623804.602
1012,1667282.944
1013,2109225.885
1014,1989078.341
1015,2218323.082
1016,1648546.95
1017,1691204.675
1018,1782516
1019,1736296.924
1020,1935352.016
1021,1926157.568
1022,1800938.378
1023,1462847.458
1024,1776316.719
1025,1780675.737
1026,1416965.323
1027,1906040.046
1028,1967454.397
1029,1972656.887
1030,2505798.195
1031,2035885.324
1032,1598440.914
1033,1773913.099
1034,1844225.54
1035,1749868.788
1036,1994241.603
1037,2122233.654
1038,2023195.765
1039,1913868.774
1040,1944503.254
1041,1488757.757
1042,1856864.053
1043,1746300.354
1044,1994939.326
1045,1544952.735
1046,2049094.058
1047,1756888.04
1048,1412626.066
1049,1773626.377
1050,2074374.54
1051,2070148.648
1052,1724803.647
1053,2455142.183
1054,1801109.325
1055,2065706.353
1056,1688459.345
1057,1535638.542
1058,1761211.894
1059,1691171.613
1060,1602123.477
1061,2098295.221
1062,1806474.808
1063,1544713.9
1064,1923627.933
1065,1807376.501
1066,1700320.744
1067,2107933.547
1068,1715432.802
1069,2015358.306
1070,2600173.925
1071,1791008.702
1072,1887898.42
1073,1822215.839
1074,1457005.789
1075,1656526.4
1076,1715614.681
1077,1689552.068
1078,2066525.849
1079,1678683.827
1080,1939890.284
1081,1744987.534
1082,2042242.499
1083,1789878.805
1084,1763412.443
1085,1826971.131
1086,2125620.541
1087,1701344.319
1088,1644055.833
1089,1707511.589
1090,1793302.257
1091,1903214.464
1092,2045922.324
1093,1776318.482
1094,2108288.253
1095,1688808.895
1096,2175418.747
1097,1653386.447
1098,1976648.984
1099,1677974.154
1100,2285859.423
1101,1858561.029
1102,1944279.971
1103,2230038.454
1104,1983455.421
1105,1881130.555
1106,1787887.634
1107,2031509.127
1108,1781054.989
1109,2313709.035
1110,2149363.209
1111,1371983.094
1112,1647951.393
1113,1858192.191
1114,1974017.906
1115,1762249.407
1116,1975383.462
1117,1752293.922
1118,1823464.035
1119,1748134.964
1120,1595302.768
1121,1838901.539
1122,2327349.998
1123,2400624.671
1124,1798869.867
1125,1973552.185
1126,2069441.166
1127,1974175.499
1128,2034704.095
1129,1769932.698
1130,2110614.123
1131,1800415.142
1132,1762302.785
1133,1657440.986
1134,1975273.484
1135,1535242.065
1136,1663411.323
1137,1538955.549
1138,1859186.026
1139,1857083.198
1140,1977884.536
1141,1607429.123
1142,1932483.991
1143,1714844.675
1144,1918848.065
1145,1888946.1
1146,1831028.678
1147,1932184.733
1148,1655855.368
1149,1889405.78
1150,1518073.914
1151,1881022.071
1152,1708285.439
1153,2093739.577
1154,1895508.538
1155,1577395.08
1156,1657303.485
1157,2379996.32
1158,1653861.905
1159,1659372.461
1160,1632866.218
1161,1479958.67
1162,1544969.582
1163,1593595.14
1164,2044478.844
1165,2180407.653
1166,1870279.077
1167,1635185.755
1168,1757954.714
1169,2156147.799
1170,2248976.99
1171,2883428.236
1172,2167023.005
1173,1819890.173
1174,1824410.705
1175,1782064.401
1176,1846602.845
1177,1937552.38
1178,2335264.062
1179,1827032.066
1180,1521972.749
1181,2071997.87
1182,1448462.182
1183,1869210.62
1184,1602871.642
1185,1660950.612
1186,2003700.892
1187,1804303.145
1188,1924931.014
1189,1697465.852
1190,1697534.923
1191,1674638.317
1192,1841240.729
1193,2461920.977
1194,1868541.938
1195,1588121.66
1196,1514084.244
1197,1642384.219
1198,1906881.041
1199,2241282.564
1200,1741806.707
1201,1700277.282
1202,1676545.161
1203,1840882.908
1204,1588529.064
1205,1600539.28
1206,1853782.923
1207,1932530.617
1208,1877187.48
1209,1766626.48
1210,1631573.818
1211,2061929.298
1212,2011221.21
1213,1902512.926
1214,2104567.572
1215,1815852.358
1216,1547089.343
1217,1992256.163
1218,1837858.143
1219,2048017.249
1220,1979273.243
1221,1770749.26
1222,1715693.152
1223,1467179.952
1224,1963121.216
1225,2184267.971
1226,1644724.159
1227,2548745.789
1228,2034090.57
1229,1634691.919
1230,1996909.747
1231,2438355.031
1232,1760420.306
1233,1718279.505
1234,1617244.653
1235,1480221.704
1236,2009895.766
1237,1728696.514
1238,1539955.779
1239,1754396.572
1240,1911019.913
1241,1615636.041
1242,2257006.255
1243,1921908.782
1244,1778178.771
1245,1720672.796
1246,2326764.042
1247,1526927.716
1248,1664961.881
1249,1835658.352
1250,1740319.429
1251,2043326.377
1252,2337326.598
1253,1519501.428
1254,1442492.843
1255,2037998.779
1256,1891112.913
1257,1674194.911
1258,1630127.588
1259,1502920.373
1260,2626078.465
1261,1948088.084
1262,2030374.041
1263,2816003.895
1264,2408529.514
1265,2106296.363
1266,1692621.905
1267,2263937.426
1268,1581007.728
1269,2541839.937
1270,1854288.055
1271,1729138.105
1272,2191742.001
1273,2029736.174
1274,1998111.24
1275,1767231.325
1276,1372470.851
1277,1686187.73
1278,1898602.218
1279,1689510.217
1280,1956797.12
1281,2168304.873
1282,1795614.356
1283,1710511.959
1284,1909201.019
1285,1992895.541
1286,1595885.568
1287,2167505.965
1288,2227412.664
1289,1607790.098
1290,1746691.032
1291,1819974.532
1292,1653908.935
1293,1878064.782
1294,1983136.827
1295,1679636.7
1296,1982475.187
1297,1645042.199
1298,1741160.026
1299,2344996.67
1300,2006347.149
1301,1984748.727
1302,1802606.652
1303,1938629.598
1304,2062888.914
1305,1540080.532
1306,1583706.311
1307,2003000.314
1308,1858319.759
1309,1968009.857
1310,1805903.029
1311,1906409.166
1312,1850568.387
1313,1736945.178
1314,1815172.605
1315,1998115.927
1316,1926972.424
1317,1557799.957
1318,1747488.696
1319,2067817.881
1320,1841539.265
1321,1663413.618
1322,2584429.518
1323,1525657.312
1324,1854640.678
1325,1911913.974
1326,2003389.536
1327,1801401.593
1328,1741935.96
1329,1702392.688
1330,1751361.837
1331,1926255.594
1332,1928017.384
1333,1745010.461
1334,2183711.795
1335,1891179.322
1336,2123621.125
1337,1701760.316
1338,2037356.325
1339,1864164.086
1340,1671460.115
1341,1708641.459
1342,1483414.275
1343,1930926.848
1344,2116352.322
1345,1666924.66
1346,1906624.757
1347,1833518.874
1348,2223926.116
1349,1621520.051
1350,1789776.013
1351,1816458.351
1352,2238562.236
1353,2421498.622
1354,1934216.755
1355,1840388.396
1356,1589270.152
1357,1819486.248
1358,1781143.485
1359,2144545.395
1360,1985695.584
1361,2054415.991
1362,1878012.695
1363,2103185.185
1364,2000419.591
1365,1818808.779
1366,2126112.099
1367,2074442.338
1368,1743987.85
1369,1602701.325
1370,1616429.193
1371,1519910.781
1372,2854266.039
1373,1611450.247
1374,1548675.071
1375,1784969.288
1376,1860197.396
1377,1774523.926
1378,1686253.131
1379,2172814.098
1380,2213217.221
1381,1865867.37
1382,1802755.258
1383,1814381.592
1384,1744368.176
1385,1569514.616
1386,1617394.739
1387,1605033.275
1388,2151228.52
1389,2035345.026
1390,1945225.346
1391,1851707.276
1392,1632630.752
1393,1975468.71
1394,1984938.594
1395,1681721.42
1396,1810553.583
1397,1608216.646
1398,1899396.003
1399,1961207.07
1400,2164782.387
1401,1890234.127
1402,2082552.466
1403,1824068.845
1404,1677323.838
1405,1792026.191
1406,2244072.498
1407,1933722.705
1408,1840136.048
1409,1851039.304
1410,2129331.939
1411,1640503.051
1412,1333531.962
1413,1961471.684
1414,2012748.044
1415,2105634.683
1416,1722862.135
1417,1847846.368
1418,1540884.458
1419,1431021.806
1420,1489820.608
1421,1667505.744
1422,2210023.365
1423,2060421.565
1424,1892550.81
1425,1988807.599
1426,2381368.234
1427,2545646.105
1428,1983159.849
1429,1865020.78
1430,1591651.863
1431,1598978.977
1432,1769132.593
1433,2280505.805
1434,1500263.249
1435,1629611.143
1436,1861471.934
1437,1588868.235
1438,1720922.454
1439,1933684.051
1440,1928283.855
1441,1624468.669
1442,1745066.335
1443,1996804.42
1444,1773403.967
1445,2048452.175
1446,1801254.282
1447,2098277.297
1448,1952858.93
1449,1624263.306
1450,1853845.951
1451,1810901.732
1452,1661986.515
1453,2179970.234
1454,2068883.421
1455,1728865.275
1456,1954000.139
1457,1398545.359
1458,1929570.353
1459,2565635.563
1460,1657462.319
1461,1946469.846
1462,1910243.35
1463,1888440.538
1464,1999807.339
1465,2075093.185
1466,1573894.97
1467,1989551.738
1468,1928187.825
1469,2006873.961
1470,1528548.329
1471,1835008.351
1472,1471726.019
1473,1536611.811
1474,1638840.874
1475,1772263.744
1476,1708666.784
1477,1642695.678
1478,1678475.791
1479,2195667.078
1480,1620073.1
1481,1824552.237
1482,1950776.903
1483,2388479.52
1484,2715067.733
1485,1697018.222
1486,1658201.557
1487,2211151.852
1488,1669870.885
1489,1882835.94
1490,1533998.375
1491,2122535.114
1492,1702079.3
1493,1695209.663
1494,2032350.257
1495,2084681.375
1496,1301312.635
1497,2442195.176
1498,1808463.746
1499,2111982.569
1500,1853451.954
1501,1652422.508
1502,1607568.274
1503,1817901.041
1504,1969630.3
1505,1922308.698
1506,2139918.861
1507,1827470.728
1508,1814301.242
1509,1570070.566
1510,2142648.266
1511,1686467.456
1512,1517798.859
1513,1610011.951
1514,1598496.014
1515,1750698.551
1516,1704045.865
1517,1889383.173
1518,2004954.37
1519,2324760.556
1520,1554363.377
1521,1805138.492
1522,1830882.493
1523,1786005.829
1524,1684338.204
1525,1803495.865
1526,1836227.002
1527,1796124.974
1528,2219796.407
1529,1844045.305
1530,1854937.15
1531,1992239.204
1532,1940279.658
1533,1956655.56
1534,1607377.281
1535,1867255.701
1536,1838645.222
1537,1541459.394
1538,2039247.611
1539,1455039.506
1540,2344289.209
1541,2027939.289
1542,2377921.976
1543,1632419.434
1544,1898732.023
1545,1713014.609
1546,1905148.179
1547,1893045.532
1548,1737197.922
1549,1636103.529
1550,1584005.428
1551,1569242.398
1552,1964214.879
1553,2029369.867
1554,2209642.812
1555,1995570.951
1556,1800733.442
1557,2186467.861
1558,1688069.062
1559,1725261.174
1560,1859834.569
1561,1699030.802
1562,1639835.153
1563,1901187.958
1564,1955127.812
1565,1784944.603
1566,1538517.186
1567,1810736.322
1568,2070193.82
1569,1929301.433
1570,2030750.634
1571,1797041.126
1572,1724311.038
1573,1739903.265
1574,1491714.589
1575,2192040.5
1576,1574109.077
1577,1819026.667
1578,1992296.405
1579,1645215.532
1580,3216300.188
1581,1909902.05
1582,1940619.645
1583,1854641.561
1584,1745051.708
1585,1892694.789
1586,2852932.664
1587,1980182.617
1588,1759600.782
1589,1879002.838
1590,1645536.519
1591,1960157.624
1592,2101654.989
1593,1998986.178
1594,1937671.061
1595,1774867.291
1596,2171091.854
1597,1751642.946
1598,2005956.232
1599,1984555.074
1600,1986702.715
1601,2137223.64
1602,2075395.28
1603,1634975.374
1604,1752201.853
1605,2263041.747
1606,1828801.798
1607,1960028.037
1608,1827180.713
1609,1900333.663
1610,2358955.163
1611,1511699.026
1612,1792300.674
1613,1631937.438
1614,1507661.281
1615,1749329.866
1616,1972357.622
1617,1907611.416
1618,2024022.985
1619,2268883.533
1620,2071338.343
1621,1941048.986
1622,1817335.996
1623,1831313.994
1624,1869158.162
1625,2022297.251
1626,1869741.199
1627,1947644.712
1628,1932055.206
1629,1982418.488
1630,1897572.69
1631,1727424.798
1632,2019593.622
1633,1786905.551
1634,1946096.571
1635,1853180.338
1636,1587790.483
1637,1644763.862
1638,1612473.828
1639,1905531.262
1640,2135622.816
1641,1465552.26
1642,1432575.907
1643,1885841.181
1644,1904916.273
1645,2092748.575
1646,2087464.644
1647,1732502.354
1648,1458404.713
1649,1899017.056
1650,2118443.388
1651,1804801.163
1652,1973605.036
1653,1937273.293
1654,1550615.889
1655,1806053.077
1656,1718902.672
1657,1657442.237
1658,1739314.601
1659,2038945.601
1660,1773101.274
1661,2485942.411
1662,2001715.202
1663,1990648.314
1664,2336379.557
1665,2284707.897
